"","id","q","ans","key_skills_id","min_salary","max_salary","gender","age","location","education","title","experience"
"1",3,"Q13_Part_7","matlab",12,125,150,"Male","40-44","United States of America","Master’s degree","Data Scientist","5-10"
"2",3,"Q16_Part_1","python",16,125,150,"Male","40-44","United States of America","Master’s degree","Data Scientist","5-10"
"3",3,"Q16_Part_3","sql",19,125,150,"Male","40-44","United States of America","Master’s degree","Data Scientist","5-10"
"4",4,"Q16_Part_1","python",16,30,40,"Male","25-29","Japan","Master’s degree","Data Scientist","0-1"
"5",5,"Q16_Part_2","r",17,50,60,"Male","40-44","Colombia","Master’s degree","Data Scientist","1-2"
"6",6,"Q16_Part_1","python",16,30,40,"Male","55-59","Spain","Some college/university study without earning a bachelor’s degree","Data Scientist","5-10"
"7",7,"Q16_Part_1","python",16,70,80,"Male","30-34","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Data Scientist","5-10"
"8",7,"Q16_Part_2","r",17,70,80,"Male","30-34","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Data Scientist","5-10"
"9",8,"Q13_Part_7","matlab",12,100,125,"Male","35-39","Netherlands","Master’s degree","Data Scientist","0-1"
"10",8,"Q16_Part_1","python",16,100,125,"Male","35-39","Netherlands","Master’s degree","Data Scientist","0-1"
"11",8,"Q16_Part_3","sql",19,100,125,"Male","35-39","Netherlands","Master’s degree","Data Scientist","0-1"
"12",9,"Q13_Part_7","matlab",12,60,70,"Female","25-29","Sweden","Master’s degree","Data Scientist","1-2"
"13",9,"Q16_Part_1","python",16,60,70,"Female","25-29","Sweden","Master’s degree","Data Scientist","1-2"
"14",9,"Q16_Part_3","sql",19,60,70,"Female","25-29","Sweden","Master’s degree","Data Scientist","1-2"
"15",10,"Q13_Part_7","matlab",12,80,90,"Male","30-34","Australia","Doctoral degree","Data Scientist","2-3"
"16",10,"Q16_Part_2","r",17,80,90,"Male","30-34","Australia","Doctoral degree","Data Scientist","2-3"
"17",10,"Q16_Part_9","matlab",12,80,90,"Male","30-34","Australia","Doctoral degree","Data Scientist","2-3"
