"","Gender","Age","Location","Education","Major","Title","Industry","Experience","DataScientist","PrimarySkill","skill1"
"1","Male","25-29","Turkey","Master’s degree","Engineering (non-computer focused)","Not employed",NA,NA,"Definitely not",NA,NA
"2","Prefer not to say","80+","United States of America","No formal education past high school",NA,"Not employed",NA,NA,"Definitely not",NA,NA
"3","Male","25-29","India","Professional degree","Engineering (non-computer focused)","Software Engineer","Computers/Technology","0-1","Definitely yes",NA,"We are exploring ML methods (and may one day put a model into production)"
"4","Male","30-34","India","Master’s degree","Other","Business Analyst","Computers/Technology","1-2","Definitely yes",NA,"We are exploring ML methods (and may one day put a model into production)"
"5","Male","25-29","India","No formal education past high school",NA,"Not employed",NA,NA,"Probably not",NA,NA
"6","Female","22-24","Kenya","Bachelor’s degree","Environmental science or geology","Data Analyst","Other","0-1","Definitely yes",NA,"We are exploring ML methods (and may one day put a model into production)"
"7","Male","22-24","India","Bachelor’s degree","Engineering (non-computer focused)","Data Analyst",NA,NA,NA,NA,NA
"8","Male","35-39","United States of America","Doctoral degree","Engineering (non-computer focused)","Data Scientist","Marketing/CRM","5-10",NA,NA,NA
"9","Male","35-39","China",NA,NA,NA,NA,NA,NA,NA,NA
"10","Male","22-24","Russia","No formal education past high school",NA,"Not employed",NA,NA,"Probably yes",NA,NA
"11","Male","22-24","India","Bachelor’s degree","Engineering (non-computer focused)","Software Engineer","Computers/Technology","0-1","Probably not",NA,"No (we do not use ML methods)"
"12","Male","40-44","Nigeria","Professional degree","Mathematics or statistics","Other","Other","1-2","Definitely yes",NA,"No (we do not use ML methods)"
"13","Male","22-24","I do not wish to disclose my location","Bachelor’s degree","Engineering (non-computer focused)","Student","Computers/Technology","1-2","Probably not",NA,"No (we do not use ML methods)"
"14","Prefer to self-describe","80+","Germany","I prefer not to answer","Other","Other","Military/Security/Defense","4-5","Definitely not",NA,"I do not know"
"15","Male","18-21","I do not wish to disclose my location",NA,NA,NA,NA,NA,NA,NA,NA
"16","Male","18-21","United States of America","Some college/university study without earning a bachelor’s degree","Other","Student","I am a student","0-1","Definitely not",NA,"I do not know"
"17","Male","22-24","Switzerland","Master’s degree","Engineering (non-computer focused)","Student","I am a student",NA,"Definitely not",NA,"I do not know"
"18","Male","30-34","South Korea","Bachelor’s degree","Other","Not employed",NA,NA,"Definitely yes",NA,NA
"19","Male","30-34","Poland","Master’s degree","Mathematics or statistics","Software Engineer","Computers/Technology","10-15","Maybe",NA,"No (we do not use ML methods)"
"20","Male","30-34","Germany","Doctoral degree","Physics or astronomy","Data Scientist",NA,NA,NA,NA,NA
"21","Prefer not to say","80+","Other","No formal education past high school",NA,"Not employed",NA,NA,"Definitely not",NA,NA
"22","Prefer to self-describe","30-34","Sweden","Doctoral degree","Engineering (non-computer focused)","Student","Academics/Education","4-5","Maybe",NA,"No (we do not use ML methods)"
"23","Male","18-21","India","Bachelor’s degree","Engineering (non-computer focused)","Student","I am a student","1-2","Definitely not",NA,"No (we do not use ML methods)"
"24","Male","50-54","United States of America","Master’s degree","Engineering (non-computer focused)","Research Scientist","Computers/Technology","4-5","Probably not",NA,"We are exploring ML methods (and may one day put a model into production)"
"25","Female","40-44","Canada","Bachelor’s degree","Fine arts or performing arts","Not employed",NA,NA,"Probably not",NA,NA
"26","Male","18-21","Viet Nam","Some college/university study without earning a bachelor’s degree","Other","Other","I am a student","0-1","Probably not",NA,"I do not know"
"27","Prefer not to say","22-24","Russia","No formal education past high school",NA,"Not employed",NA,NA,"Definitely yes",NA,NA
"28","Male","50-54","India","Professional degree","Engineering (non-computer focused)","Chief Officer","Computers/Technology","20-25","Probably yes",NA,"We are exploring ML methods (and may one day put a model into production)"
