"","id","q","ans","key_skills_id","min_salary","max_salary","gender","age","location","education","title","experience"
"1",3,"Q13_Part_7","matlab",12,125,150,"Male","40-44","United States of America","Master’s degree","Data Scientist","5-10"
"2",3,"Q16_Part_1","python",16,125,150,"Male","40-44","United States of America","Master’s degree","Data Scientist","5-10"
"3",3,"Q16_Part_3","sql",19,125,150,"Male","40-44","United States of America","Master’s degree","Data Scientist","5-10"
"4",4,"Q13_Part_1","jupyter",21,30,40,"Male","25-29","Japan","Master’s degree","Data Scientist","0-1"
"5",4,"Q13_Part_1","ipython",22,30,40,"Male","25-29","Japan","Master’s degree","Data Scientist","0-1"
"6",4,"Q13_Part_3","pycharm",23,30,40,"Male","25-29","Japan","Master’s degree","Data Scientist","0-1"
"7",4,"Q16_Part_1","python",16,30,40,"Male","25-29","Japan","Master’s degree","Data Scientist","0-1"
"8",5,"Q16_Part_2","r",17,50,60,"Male","40-44","Colombia","Master’s degree","Data Scientist","1-2"
"9",6,"Q13_Part_1","jupyter",21,30,40,"Male","55-59","Spain","Some college/university study without earning a bachelor’s degree","Data Scientist","5-10"
"10",6,"Q13_Part_1","ipython",22,30,40,"Male","55-59","Spain","Some college/university study without earning a bachelor’s degree","Data Scientist","5-10"
"11",6,"Q16_Part_1","python",16,30,40,"Male","55-59","Spain","Some college/university study without earning a bachelor’s degree","Data Scientist","5-10"
"12",7,"Q13_Part_1","jupyter",21,70,80,"Male","30-34","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Data Scientist","5-10"
"13",7,"Q13_Part_1","ipython",22,70,80,"Male","30-34","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Data Scientist","5-10"
"14",7,"Q13_Part_13","spyder",24,70,80,"Male","30-34","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Data Scientist","5-10"
"15",7,"Q16_Part_1","python",16,70,80,"Male","30-34","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Data Scientist","5-10"
"16",7,"Q16_Part_2","r",17,70,80,"Male","30-34","United Kingdom of Great Britain and Northern Ireland","Master’s degree","Data Scientist","5-10"
