"id","experience","job_type","location","min_salary","max_salary","company_name_encoded","key_skills","key_skills_id"
3,"7-10 yrs","Analytics","Bengaluru",10,15,313,"sql",19
3,"7-10 yrs","Analytics","Bengaluru",10,15,313,"python",16
3,"7-10 yrs","Analytics","Bengaluru",10,15,313,"analytics",1
3,"7-10 yrs","Analytics","Bengaluru",10,15,313,"machine learning",9
5,"5-10 yrs",NA,"Noida",6,10,4428,"effective communication",6
6,"13-15 yrs","Analytics","Delhi NCR",25,50,1988,"fraud analytics",7
6,"13-15 yrs","Analytics","Delhi NCR",25,50,1988,"team leading",20
10,"3-7 yrs",NA,"Mohali",6,10,3492,"data science",5
10,"3-7 yrs",NA,"Mohali",6,10,3492,"machine learning engineer",10
11,"10-12 yrs","Analytics","Delhi NCR, Gurgaon",10,15,1969,"model development",13
11,"10-12 yrs","Analytics","Delhi NCR, Gurgaon",10,15,1969,"analytics",1
12,"2-6 yrs","Analytics","Pune(Kharadi)",10,15,3692,"marketing automation",11
13,"2-4 yrs","Analytics","Mumbai",6,10,4479,"data science",5
13,"2-4 yrs","Analytics","Mumbai",6,10,4479,"machine learning",9
13,"2-4 yrs","Analytics","Mumbai",6,10,4479,"r",17
13,"2-4 yrs","Analytics","Mumbai",6,10,4479,"big data",2
13,"2-4 yrs","Analytics","Mumbai",6,10,4479,"predictive analytics",15
13,"2-4 yrs","Analytics","Mumbai",6,10,4479,"sql",19
15,"3-6 yrs",NA,"Gurgaon, Gurugram",10,15,2914,"python",16
16,"5-8 yrs",NA,"Bengaluru",6,10,3998,"hadoop",8
18,"4-9 yrs",NA,"Bengaluru",15,25,2401,"hadoop",8
21,"8-12 yrs",NA,"Chennai",25,50,1178,"data privacy",4
22,"10-12 yrs","Analytics","Bengaluru",10,15,1969,"analytics",1
28,"1-3 yrs","Analytics","Bengaluru",3,6,190,"analytics",1
28,"1-3 yrs","Analytics","Bengaluru",3,6,190,"python",16
29,"2-5 yrs",NA,"Mumbai, Mumbai Suburbs",15,25,2012,"regression testing",18
30,"6-11 yrs","Analytics","Bengaluru",10,15,3319,"machine learning",9
30,"6-11 yrs","Analytics","Bengaluru",10,15,3319,"analytics",1
30,"6-11 yrs","Analytics","Bengaluru",10,15,3319,"natural language processing",14
34,"7-10 yrs",NA,"Gurgaon, Noida",10,15,2993,"big data",2
34,"7-10 yrs",NA,"Gurgaon, Noida",10,15,2993,"hadoop",8
36,"5-8 yrs",NA,"Bengaluru",6,10,853,"matlab",12
37,"2-5 yrs","Analytics","Bengaluru",6,10,190,"sql",19
37,"2-5 yrs","Analytics","Bengaluru",6,10,190,"python",16
37,"2-5 yrs","Analytics","Bengaluru",6,10,190,"analytics",1
38,"4-9 yrs","analytics","Delhi NCR",10,15,4298,"analytics",1
42,"2-6 yrs",NA,"Chandigarh",10,15,3397,"machine learning",9
44,"5-9 yrs","Analytics","Gurgaon",10,15,191,"analytics",1
46,"2-7 yrs","Analytics","Bengaluru",10,15,3870,"data science",5
46,"2-7 yrs","Analytics","Bengaluru",10,15,3870,"big data analytics",3
46,"2-7 yrs","Analytics","Bengaluru",10,15,3870,"machine learning",9
46,"2-7 yrs","Analytics","Bengaluru",10,15,3870,"python",16
48,"14-16 yrs",NA,"Chennai",15,25,911,"team leading",20
62,"2-7 yrs","Analytics","Mumbai",10,15,1474,"python",16
63,"7-10 yrs",NA,"Chennai",25,50,3383,"hadoop",8
63,"7-10 yrs",NA,"Chennai",25,50,3383,"python",16
65,"1-5 yrs","Analytics","Bengaluru, Delhi NCR, Kolkata",15,25,3364,"sql",19
65,"1-5 yrs","Analytics","Bengaluru, Delhi NCR, Kolkata",15,25,3364,"r",17
66,"7-10 yrs",NA,"Mumbai, Bengaluru, Chennai, Pune, Noida",15,25,783,"sql",19
66,"7-10 yrs",NA,"Mumbai, Bengaluru, Chennai, Pune, Noida",15,25,783,"r",17
68,"5-7 yrs",NA,"Gurgaon",3,6,4774,"team leading",20
68,"5-7 yrs",NA,"Gurgaon",3,6,4774,"sql",19
69,"3-8 yrs",NA,"Bengaluru",25,50,871,"big data",2
